fold,epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc
1,1,0.5861,77.36,0.5653,0.5423,75.93,0.9081
1,2,0.5633,75.94,0.5325,0.5544,75.93,0.8302
1,3,0.451,81.6,0.7668,0.1959,96.3,0.9775
1,4,0.4123,85.85,0.8008,0.4584,81.48,0.9878
1,5,0.2961,86.79,0.9144,0.1877,94.44,0.9493
1,6,0.0952,97.64,0.962,0.2912,94.44,0.879
1,7,0.2303,93.87,0.9061,0.1751,96.3,0.8874
1,8,0.134,96.7,0.9704,0.388,92.59,0.8931
1,9,0.2281,94.34,0.8679,0.2544,92.59,0.9174
1,10,0.089,98.58,0.9587,0.2433,94.44,0.8912
1,11,0.1384,95.75,0.9686,0.0993,96.3,1.0
1,12,0.1429,94.81,0.9811,0.1914,90.74,1.0
1,13,0.0948,97.64,0.9809,0.1127,98.15,0.9625
1,14,0.0648,98.58,0.9888,0.1166,98.15,0.924
1,15,0.0832,98.11,0.9876,0.0207,100.0,1.0
1,16,0.1481,95.75,0.9667,0.2472,92.59,0.8856
1,17,0.1549,93.87,0.9776,0.4685,83.33,0.9728
1,18,0.107,97.17,0.9893,0.2763,96.3,0.8893
1,19,0.1022,97.17,0.9731,0.25,96.3,0.8705
1,20,0.1325,97.17,0.9538,0.3257,94.44,0.8096
2,1,0.5404,77.93,0.6091,0.3795,77.36,0.9024
2,2,0.3802,86.38,0.8467,0.2752,90.57,0.9817
2,3,0.1858,93.9,0.9561,0.2214,94.34,0.9593
2,4,0.1408,94.37,0.9797,0.1741,90.57,0.9898
2,5,0.2239,93.43,0.9448,0.1357,96.23,0.9715
2,6,0.1198,97.65,0.9719,0.0825,98.11,0.9837
2,7,0.0885,97.18,0.9903,0.1,96.23,0.9817
2,8,0.0301,99.53,0.9988,0.47,94.34,0.9776
2,9,0.0844,97.18,0.9884,0.0096,100.0,1.0
2,10,0.0565,98.59,0.9938,0.0971,96.23,0.9959
2,11,0.0229,99.53,0.9993,0.409,94.34,0.9289
2,12,0.1345,96.24,0.9774,0.3297,90.57,0.9654
2,13,0.0699,97.65,0.9963,0.091,96.23,0.9939
2,14,0.0073,100.0,1.0,0.0891,98.11,0.9939
2,15,0.0021,100.0,1.0,0.1022,98.11,0.9939
2,16,0.0019,100.0,1.0,0.1274,96.23,0.9939
2,17,0.0017,100.0,1.0,0.2786,94.34,0.9939
2,18,0.0004,100.0,1.0,0.2547,94.34,0.9939
2,19,0.0003,100.0,1.0,0.2463,94.34,0.9939
3,1,0.576,76.06,0.4967,0.506,77.36,0.8882
3,2,0.4444,80.28,0.7974,0.229,92.45,0.9736
3,3,0.2395,89.2,0.9497,0.1294,96.23,0.9939
3,4,0.1362,93.43,0.9854,0.1166,98.11,0.9817
3,5,0.1076,98.12,0.9705,0.2829,94.34,0.9654
3,6,0.0954,97.65,0.9739,0.2061,92.45,0.9715
3,7,0.0424,99.53,0.983,0.3357,92.45,0.9228
3,8,0.0424,99.53,0.9817,0.3768,94.34,0.9177
3,9,0.0367,99.53,0.9841,0.3952,94.34,0.9339
3,10,0.0378,99.53,0.9851,0.3794,94.34,0.9319
3,11,0.0476,99.53,0.9796,0.4022,94.34,0.9268
3,12,0.0482,99.06,0.9861,0.3456,94.34,0.9533
3,13,0.571,77.93,0.5158,0.535,77.36,0.811
3,14,0.57,77.0,0.3948,0.5397,77.36,0.7713
4,1,0.5968,76.06,0.4886,0.4208,86.79,0.9065
4,2,0.3269,86.38,0.89,0.2985,83.02,0.9533
4,3,0.1405,94.37,0.981,0.2688,92.45,0.9106
4,4,0.0871,98.12,0.9849,0.4332,92.45,0.9106
4,5,0.2312,91.08,0.9464,0.3037,92.45,0.9553
4,6,0.1291,96.24,0.9831,0.1896,96.23,0.9553
4,7,0.0768,98.59,0.99,0.3193,94.34,0.9167
4,8,0.1092,98.12,0.9662,0.199,94.34,0.9441
4,9,0.0368,99.53,0.9922,0.3156,96.23,0.9624
4,10,0.1465,96.71,0.9755,0.3672,81.13,0.9553
4,11,0.103,97.18,0.9858,0.2965,88.68,0.9533
4,12,0.1095,97.65,0.9766,0.4661,79.25,0.9553
4,13,0.0813,98.12,0.9903,0.3032,94.34,0.9126
4,14,0.4476,83.1,0.7972,0.5653,77.36,0.8567
4,15,0.564,77.0,0.4721,0.5415,77.36,0.9289
4,16,0.5571,77.0,0.4845,0.5346,77.36,0.938
5,1,0.603,73.71,0.4294,0.5213,77.36,0.8862
5,2,0.336,85.92,0.8939,0.2815,86.79,0.9421
5,3,0.1886,94.84,0.9405,0.2151,94.34,0.9614
5,4,0.0831,98.59,0.979,0.3411,92.45,0.9553
5,5,0.0655,98.12,0.995,0.4915,92.45,0.8953
5,6,0.1256,97.65,0.9766,0.4534,92.45,0.8679
5,7,0.1337,95.77,0.9792,0.2757,92.45,0.9715
5,8,0.0435,98.59,0.997,0.3965,92.45,0.9309
5,9,0.0577,98.12,0.9935,0.8447,90.57,0.9014
5,10,0.1032,98.59,0.9655,0.3118,94.34,0.8537
5,11,0.0693,99.06,0.9868,0.4079,90.57,0.9329
5,12,0.1396,97.18,0.9657,0.2721,92.45,0.9177
5,13,0.1517,94.84,0.9808,0.3436,90.57,0.8963
