fold,epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc
1,1,0.5808,77.51,0.4902,0.4802,76.74,0.9803
1,2,0.279,89.94,0.9259,0.1365,97.67,0.9879
1,3,0.146,97.63,0.9614,0.0659,97.67,0.997
1,4,0.137,97.63,0.9693,0.9297,93.02,0.8182
1,5,0.5427,91.72,0.8491,0.1223,97.67,0.9909
1,6,0.1859,95.27,0.9665,0.7188,74.42,0.9924
1,7,0.1251,97.04,0.9709,0.0866,97.67,0.9955
1,8,0.1123,97.63,0.9761,0.084,97.67,0.9939
1,9,0.1146,97.63,0.9751,0.5385,60.47,0.9758
1,10,0.0905,97.63,0.9857,0.0951,97.67,0.997
1,11,0.0981,97.04,0.9797,0.4438,83.72,0.9985
1,12,0.1106,97.04,0.9801,0.0815,97.67,0.9939
1,13,0.0678,98.22,0.9879,0.0956,97.67,0.9939
1,14,0.075,98.22,0.9879,0.0854,97.67,0.997
1,15,0.0735,98.22,0.9811,0.0808,97.67,0.9864
1,16,0.0691,98.22,0.9894,0.0801,97.67,0.9939
1,17,0.0698,98.22,0.9855,0.0783,97.67,1.0
1,18,0.074,98.22,0.9799,0.078,97.67,1.0
1,19,0.0738,98.22,0.9873,0.078,97.67,0.9955
1,20,0.0656,98.22,0.9912,0.0925,97.67,1.0
2,1,0.552,75.88,0.5451,0.3196,76.74,1.0
2,2,0.1766,92.94,0.9562,0.0284,97.67,1.0
2,3,0.1891,97.06,0.9528,0.0165,100.0,1.0
2,4,0.1739,94.71,0.9554,0.0129,100.0,1.0
2,5,0.1321,97.65,0.9773,0.014,100.0,1.0
2,6,0.0873,98.24,0.9851,0.0173,100.0,1.0
2,7,0.0585,98.24,0.9933,0.0098,100.0,1.0
2,8,0.157,96.47,0.9845,0.1543,97.67,1.0
2,9,0.0901,98.24,0.9816,0.0069,100.0,1.0
2,10,0.0412,99.41,0.993,0.0046,100.0,1.0
2,11,0.044,99.41,0.9924,0.0013,100.0,1.0
2,12,0.0454,99.41,0.993,0.0064,100.0,1.0
2,13,0.0355,99.41,0.9933,0.0022,100.0,1.0
2,14,0.0374,99.41,0.9931,0.0031,100.0,1.0
2,15,0.0476,99.41,0.9926,0.0046,100.0,1.0
2,16,0.0319,99.41,0.9937,0.0027,100.0,1.0
2,17,0.0296,99.41,0.9963,0.0016,100.0,1.0
2,18,0.0245,99.41,0.9988,0.001,100.0,1.0
2,19,0.0254,99.41,0.9986,0.0006,100.0,1.0
2,20,0.0473,99.41,0.9926,0.002,100.0,1.0
3,1,0.5561,74.71,0.5732,0.3275,76.74,1.0
3,2,0.2609,82.94,0.928,0.0071,100.0,1.0
3,3,0.1692,95.29,0.9702,0.039,100.0,1.0
3,4,0.1015,97.65,0.9759,0.0098,100.0,1.0
3,5,0.1413,97.06,0.9853,0.0394,100.0,1.0
3,6,0.1005,97.06,0.9918,0.0639,100.0,1.0
3,7,0.1187,96.47,0.9867,0.2044,97.67,1.0
3,8,0.2266,94.12,0.9418,0.0721,100.0,1.0
3,9,0.0833,97.65,0.9867,0.023,100.0,1.0
3,10,0.0532,97.65,0.9969,0.0185,100.0,1.0
3,11,0.0634,98.24,0.9916,0.0439,97.67,1.0
3,12,0.0295,98.82,0.9992,0.0013,100.0,1.0
3,13,0.0579,98.82,0.9926,0.0017,100.0,1.0
3,14,0.0338,99.41,0.9957,0.0004,100.0,1.0
3,15,0.0417,99.41,0.9941,0.0017,100.0,1.0
3,16,0.0382,99.41,0.9931,0.0049,100.0,1.0
3,17,0.0347,99.41,0.9931,0.0054,100.0,1.0
3,18,0.0327,99.41,0.9939,0.0041,100.0,1.0
3,19,0.0334,99.41,0.9933,0.0021,100.0,1.0
3,20,0.0458,99.41,0.9924,0.0017,100.0,1.0
4,1,0.5683,74.71,0.4748,0.2984,86.05,1.0
4,2,0.157,96.47,0.9761,0.0024,100.0,1.0
4,3,0.2351,95.29,0.9479,0.2975,93.02,1.0
