fold,epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc
1,1,0.5853,76.3,0.5059,0.4954,76.47,0.9135
1,2,0.3751,85.93,0.8507,0.2444,97.06,0.9231
1,3,0.0542,98.52,0.9941,0.2939,97.06,0.9952
1,4,0.0001,100.0,1.0,0.3759,97.06,0.9952
1,5,0.0,100.0,1.0,0.4108,97.06,0.9952
1,6,0.0,100.0,1.0,0.429,97.06,0.9952
1,7,0.0,100.0,1.0,0.4396,97.06,0.9952
1,8,0.0,100.0,1.0,0.4449,97.06,0.9952
1,9,0.0,100.0,1.0,0.4676,97.06,0.9952
1,10,0.0,100.0,1.0,0.4747,97.06,0.9952
1,11,0.0,100.0,1.0,0.483,97.06,0.9952
1,12,0.0,100.0,1.0,0.4862,97.06,0.9952
1,13,0.0,100.0,1.0,0.4945,97.06,0.9952
1,14,0.0,100.0,1.0,0.489,97.06,0.9952
1,15,0.0,100.0,1.0,0.4766,97.06,0.9952
1,16,0.0,100.0,1.0,0.4798,97.06,0.9952
1,17,0.0,100.0,1.0,0.4733,97.06,0.9952
1,18,0.0,100.0,1.0,0.4596,97.06,0.9952
1,19,0.0,100.0,1.0,0.4821,97.06,0.9952
1,20,0.0,100.0,1.0,0.4807,97.06,0.9952
2,1,0.5697,75.56,0.4997,0.4643,76.47,0.9712
2,2,0.307,86.67,0.9277,0.1946,97.06,0.9904
2,3,0.0882,98.52,0.9864,0.3046,97.06,0.9952
2,4,0.2934,95.56,0.9144,0.2603,97.06,1.0
2,5,0.0718,98.52,0.986,0.3387,97.06,1.0
2,6,0.0641,98.52,0.9895,0.3504,97.06,1.0
2,7,0.085,98.52,0.9811,0.3661,97.06,1.0
2,8,0.0646,98.52,0.987,0.3763,97.06,1.0
2,9,0.0682,98.52,0.9857,0.3906,97.06,0.9952
2,10,0.0579,98.52,0.9919,0.3999,97.06,0.9952
2,11,0.0668,98.52,0.9867,0.4092,97.06,1.0
2,12,0.0657,98.52,0.9867,0.4266,97.06,0.9904
2,13,0.0659,98.52,0.9854,0.4269,97.06,0.9808
2,14,0.0604,98.52,0.9867,0.4294,97.06,0.9784
2,15,0.0899,98.52,0.9808,0.418,97.06,0.9928
2,16,0.0649,98.52,0.991,0.424,97.06,0.9543
2,17,0.0611,98.52,0.9895,0.4261,97.06,0.9495
2,18,0.074,98.52,0.9901,0.4269,97.06,0.9808
2,19,0.0709,98.52,0.9829,0.4291,97.06,1.0
2,20,0.0608,98.52,0.9898,0.4351,97.06,0.9615
3,1,0.5919,76.47,0.5023,0.49,76.47,1.0
3,2,0.3997,83.82,0.8131,0.0154,100.0,1.0
3,3,0.1763,96.32,0.9486,1.6653,38.24,1.0
3,4,0.1308,97.79,0.963,0.3212,85.29,1.0
3,5,0.1394,97.79,0.9639,0.0958,94.12,1.0
3,6,0.1405,97.79,0.9642,1.1833,58.82,1.0
3,7,0.1575,97.79,0.9597,0.0327,100.0,1.0
3,8,0.1083,97.79,0.9718,0.0131,100.0,1.0
3,9,0.1428,96.32,0.9621,0.0054,100.0,1.0
3,10,0.1431,97.79,0.9555,0.0396,100.0,1.0
3,11,0.109,97.79,0.973,0.013,100.0,1.0
3,12,0.1236,97.06,0.9766,0.0254,100.0,1.0
3,13,0.1142,97.79,0.973,0.0076,100.0,1.0
3,14,0.1323,97.79,0.9549,0.0131,100.0,1.0
3,15,0.1065,97.06,0.9847,0.0137,100.0,1.0
3,16,0.1162,97.79,0.9733,0.018,100.0,1.0
3,17,0.1115,97.79,0.9769,0.0251,100.0,1.0
3,18,0.0935,97.79,0.9829,0.01,100.0,1.0
3,19,0.0702,97.79,0.9922,0.0097,100.0,1.0
3,20,0.0603,98.53,0.9901,0.0069,100.0,1.0
4,1,0.5493,76.47,0.5702,0.3796,76.47,0.9712
4,2,0.155,93.38,0.9859,0.2126,97.06,0.9952
4,3,0.2281,95.59,0.9564,0.1048,97.06,0.9615
4,4,0.1136,98.53,0.9671,0.1022,97.06,0.9688
4,5,0.0902,98.53,0.9803,0.1286,97.06,0.9856
4,6,0.1046,98.53,0.9641,0.1204,97.06,0.9688
4,7,0.1294,98.53,0.9604,0.1124,97.06,0.9615
4,8,0.0732,98.53,0.9892,0.1561,97.06,0.9976
4,9,0.089,98.53,0.9874,0.1393,97.06,0.9904
4,10,0.1111,98.53,0.9637,0.1779,97.06,0.9976
4,11,0.1147,98.53,0.965,0.1192,97.06,0.9952
4,12,0.1219,98.53,0.9594,0.1074,97.06,0.9952
4,13,0.0954,98.53,0.9668,0.8857,67.65,0.9736
4,14,0.1343,97.79,0.9594,0.1075,97.06,0.988
4,15,0.1355,97.79,0.9556,0.1761,97.06,0.9808
4,16,0.0901,98.53,0.9745,0.142,97.06,0.9808
4,17,0.0976,98.53,0.9702,0.1097,97.06,0.9904
4,18,0.0872,98.53,0.9671,0.1144,97.06,0.988
4,19,0.0994,98.53,0.9619,0.1349,97.06,1.0
4,20,0.0874,98.53,0.9696,0.1788,97.06,1.0
5,1,0.5647,77.21,0.4625,0.4136,76.47,1.0
5,2,0.1798,91.91,0.9822,0.0068,100.0,1.0
5,3,0.0939,98.53,0.9874,0.0257,100.0,1.0
5,4,0.0649,98.53,0.9874,0.006,100.0,1.0
5,5,0.0727,98.53,0.9862,0.0079,100.0,1.0
5,6,0.0495,98.53,0.9966,0.0001,100.0,1.0
5,7,0.1041,98.53,0.9889,0.0113,100.0,1.0
5,8,0.0433,98.53,0.9969,0.0001,100.0,1.0
5,9,0.0747,98.53,0.9945,0.0002,100.0,1.0
5,10,0.0572,98.53,0.9985,0.0119,100.0,1.0
5,11,0.058,98.53,0.9914,0.004,100.0,1.0
5,12,0.0479,99.26,0.9932,0.0021,100.0,1.0
5,13,0.0503,99.26,0.9908,0.0019,100.0,1.0
5,14,0.0529,99.26,0.9908,0.005,100.0,1.0
5,15,0.0472,99.26,0.9914,0.0013,100.0,1.0
5,16,0.0613,99.26,0.9905,0.0066,100.0,1.0
5,17,0.0441,99.26,0.9908,0.001,100.0,1.0
5,18,0.0438,99.26,0.992,0.0009,100.0,1.0
5,19,0.06,99.26,0.9905,0.004,100.0,1.0
5,20,0.0429,99.26,0.9935,0.0095,100.0,1.0
