fold,epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc
1,1,0.5229,76.33,0.6613,0.2521,93.02,0.953
1,2,0.0375,99.41,0.9974,0.4915,95.35,0.9697
1,3,0.0642,99.41,0.9974,0.6086,95.35,0.9682
1,4,0.0823,99.41,0.9835,0.6401,95.35,0.9667
1,5,0.0826,99.41,0.9882,0.6661,95.35,0.9697
1,6,0.4371,92.31,0.9527,0.3218,95.35,0.9591
1,7,0.055,99.41,0.9797,0.4433,95.35,0.9591
1,8,0.0518,99.41,0.984,0.5204,95.35,0.9636
1,9,0.0633,99.41,0.9776,0.5488,95.35,0.9576
1,10,0.05,99.41,0.9759,0.5607,95.35,0.9545
1,11,0.0645,99.41,0.9765,0.5936,95.35,0.9424
1,12,0.053,99.41,0.9751,0.5884,95.35,0.9697
1,13,0.0443,99.41,0.9822,0.63,95.35,0.9545
1,14,0.0352,99.41,0.9903,0.605,95.35,0.9636
1,15,0.0514,99.41,0.9757,0.6286,95.35,0.9394
1,16,0.0456,99.41,0.9826,0.6756,95.35,0.9697
1,17,0.0555,99.41,0.9771,0.7173,95.35,0.9697
1,18,0.0398,99.41,0.9842,0.7319,95.35,0.9697
1,19,0.0521,99.41,0.9753,0.7191,95.35,0.9697
1,20,0.0547,99.41,0.9757,0.7249,95.35,0.9697
2,1,0.5904,76.92,0.4457,0.4737,76.74,1.0
2,2,0.278,91.12,0.9379,0.0294,100.0,1.0
2,3,0.1149,98.22,0.973,0.021,100.0,1.0
2,4,0.2212,94.67,0.9499,0.3413,95.35,1.0
2,5,0.1509,97.04,0.9688,1.1791,55.81,1.0
2,6,0.102,97.04,0.988,0.0048,100.0,1.0
2,7,0.0782,98.22,0.9925,0.1746,90.7,1.0
2,8,0.0905,98.82,0.9862,0.3148,86.05,1.0
2,9,0.0643,98.82,0.9935,0.072,100.0,1.0
2,10,0.0417,98.82,0.9933,0.5175,86.05,1.0
2,11,0.0667,98.82,0.9882,0.2018,88.37,0.9758
2,12,0.0527,98.22,0.9959,0.5663,83.72,1.0
2,13,0.037,98.82,0.9972,0.1832,93.02,1.0
2,14,0.0415,98.82,0.9943,0.3405,90.7,1.0
2,15,0.0449,99.41,0.9937,0.1574,93.02,1.0
2,16,0.0463,99.41,0.9923,0.2728,90.7,1.0
2,17,0.0632,97.63,0.9947,0.2171,93.02,0.9818
2,18,0.061,98.82,0.9949,0.3227,86.05,1.0
2,19,0.0394,98.82,0.997,0.503,86.05,1.0
2,20,0.0432,98.82,0.9949,0.5442,88.37,1.0
3,1,0.5576,75.88,0.5252,0.2769,78.57,1.0
3,2,0.1896,93.53,0.961,0.027,100.0,1.0
3,3,0.122,96.47,0.9838,0.0237,100.0,1.0
3,4,0.0591,98.24,0.9971,0.5158,85.71,1.0
3,5,0.0417,98.82,0.9973,0.5251,83.33,1.0
3,6,0.0424,99.41,0.9935,0.2269,90.48,1.0
3,7,0.0417,99.41,0.9929,0.5479,78.57,1.0
3,8,0.0307,99.41,0.9965,0.6047,83.33,1.0
3,9,0.0458,99.41,0.9923,0.2889,88.1,1.0
3,10,0.0291,99.41,0.9962,0.647,85.71,1.0
3,11,0.0545,99.41,0.9925,0.4392,88.1,1.0
3,12,0.0397,99.41,0.9937,0.2274,92.86,1.0
3,13,0.0439,99.41,0.9925,0.1979,92.86,1.0
3,14,0.0298,99.41,0.9971,0.7247,80.95,1.0
3,15,0.0348,99.41,0.9944,0.5989,83.33,1.0
3,16,0.0439,99.41,0.9923,0.5685,85.71,1.0
3,17,0.047,99.41,0.9935,0.8539,83.33,1.0
3,18,0.0729,98.24,0.9963,0.0012,100.0,1.0
3,19,0.1786,95.88,0.9729,0.0067,100.0,1.0
3,20,0.1146,98.24,0.9685,0.0019,100.0,1.0
4,1,0.5526,77.06,0.4993,0.3043,76.19,1.0
4,2,0.1566,97.06,0.9751,0.9069,54.76,1.0
4,3,0.1783,96.47,0.953,0.1227,97.62,1.0
4,4,0.1085,98.24,0.9806,0.3953,85.71,1.0
4,5,0.0643,98.82,0.9908,0.2473,85.71,1.0
