fold,epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc
1,1,0.4737,78.3,0.7023,1.2864,24.07,1.0
1,2,0.2085,95.28,0.9669,0.0547,98.15,1.0
1,3,0.1056,97.17,0.9831,0.2881,85.19,0.9925
1,4,0.1072,96.23,0.9849,0.0161,100.0,1.0
1,5,0.0902,97.64,0.9888,0.0841,96.3,1.0
1,6,0.0675,98.11,0.9928,0.1367,96.3,0.985
1,7,0.0553,98.11,0.9963,0.1477,96.3,0.9906
1,8,0.0356,98.11,0.998,0.1353,96.3,1.0
1,9,0.0801,97.64,0.9928,0.0901,96.3,1.0
1,10,0.0818,98.11,0.9867,0.1172,96.3,0.9962
1,11,0.0375,98.11,0.9976,0.1709,94.44,0.9925
1,12,0.1136,98.11,0.9841,0.1311,92.59,1.0
1,13,0.0737,98.11,0.9863,0.0465,100.0,1.0
1,14,0.0873,97.64,0.9845,0.0406,98.15,1.0
2,1,0.4495,83.1,0.7127,3.0496,22.64,0.9858
2,2,0.1854,97.18,0.952,0.0772,98.11,1.0
2,3,0.156,96.71,0.964,0.0692,98.11,1.0
2,4,0.1306,97.65,0.967,0.0939,98.11,1.0
2,5,0.1116,98.12,0.9676,0.0896,98.11,1.0
2,6,0.1036,98.12,0.9745,0.0683,98.11,1.0
2,7,0.0872,98.12,0.9862,0.1625,98.11,0.9959
2,8,0.4001,91.08,0.8896,0.2181,96.23,0.9776
2,9,0.1371,96.71,0.9718,0.0619,98.11,0.998
2,10,0.0893,98.12,0.9772,0.1148,98.11,0.9939
2,11,0.0502,98.59,0.9933,0.1132,98.11,0.9766
2,12,0.083,97.65,0.9862,0.0436,98.11,1.0
2,13,0.1105,97.65,0.9732,0.0844,98.11,0.9919
2,14,0.1342,96.71,0.9683,0.0696,98.11,0.9878
2,15,0.1915,96.24,0.9268,0.0782,98.11,0.997
2,16,0.094,97.65,0.9823,0.1002,98.11,0.9919
2,17,0.0686,97.65,0.9847,0.1024,98.11,0.998
2,18,0.0726,98.59,0.9822,0.0934,98.11,1.0
2,19,0.0997,98.59,0.9746,0.0841,98.11,0.998
2,20,0.1445,97.18,0.9587,0.084,98.11,0.998
3,1,0.5485,76.53,0.5691,0.34,100.0,1.0
3,2,0.1495,96.71,0.9744,0.0701,98.11,0.9797
3,3,0.1829,95.77,0.9552,0.0202,100.0,1.0
3,4,0.1323,96.71,0.9694,0.075,98.11,0.9939
3,5,0.1169,97.65,0.9727,0.0731,98.11,0.9756
3,6,0.1282,95.77,0.9796,0.0025,100.0,1.0
3,7,0.1196,97.18,0.9749,0.033,100.0,1.0
3,8,0.102,96.71,0.9812,0.0452,100.0,1.0
3,9,0.0875,97.65,0.9838,0.0113,100.0,1.0
3,10,0.074,98.12,0.9853,0.0069,100.0,1.0
3,11,0.089,98.12,0.9841,0.0232,100.0,1.0
3,12,0.0817,98.12,0.9841,0.0124,100.0,1.0
3,13,0.0721,98.12,0.9873,0.0216,100.0,1.0
3,14,0.074,98.12,0.9857,0.0127,100.0,1.0
3,15,0.0717,98.12,0.9863,0.0148,100.0,1.0
3,16,0.0754,98.12,0.9831,0.0093,100.0,1.0
4,1,0.5043,79.81,0.6361,0.1605,96.23,0.9654
4,2,0.1865,96.24,0.9556,0.1326,96.23,0.9715
4,3,0.1026,98.12,0.9847,0.163,96.23,0.9868
4,4,0.094,98.59,0.9861,0.1164,96.23,0.9644
4,5,0.12,97.18,0.9709,0.2008,96.23,0.998
4,6,0.106,98.59,0.9686,0.1256,96.23,0.998
4,7,0.0774,98.59,0.9889,0.1223,96.23,0.9959
4,8,0.102,98.59,0.9724,0.1699,96.23,1.0
4,9,0.0807,98.59,0.9899,0.1511,96.23,0.9959
4,10,0.0637,99.06,0.9891,0.1982,96.23,0.9959
4,11,0.1253,98.12,0.9774,0.1576,96.23,0.9736
4,12,0.1077,98.12,0.9757,0.1217,96.23,0.9715
4,13,0.0453,99.06,0.9965,0.2563,96.23,0.9736
4,14,0.0575,99.06,0.9895,0.1732,96.23,0.9817
5,1,0.5198,79.34,0.7032,0.1481,96.23,0.9776
5,2,0.0827,98.59,0.9895,0.3112,96.23,0.9807
5,3,0.2707,94.37,0.946,0.1784,96.23,0.9898
5,4,0.0658,98.59,0.9919,0.2692,96.23,0.997
5,5,0.0667,98.59,0.9872,0.3291,96.23,0.9949
5,6,0.0778,98.59,0.9883,0.3322,96.23,0.997
5,7,0.0751,98.59,0.9828,0.3526,96.23,0.9949
5,8,0.0743,98.59,0.9883,0.3566,96.23,0.9949
5,9,0.0689,98.59,0.9848,0.3746,96.23,0.9837
5,10,0.0671,98.59,0.9871,0.3847,96.23,0.9939
5,11,0.0512,98.59,0.995,0.4751,96.23,0.9848
