fold,epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc
1,1,0.5757,77.51,0.4321,0.4349,76.74,0.9939
1,2,0.2302,90.53,0.9675,0.4659,81.4,0.9924
1,3,0.1629,97.63,0.9604,0.0791,97.67,0.9939
1,4,0.2475,96.45,0.9383,0.0955,97.67,0.997
1,5,0.1669,95.86,0.9462,0.1035,97.67,0.9697
1,6,0.1718,96.45,0.9402,0.6491,83.72,0.9788
1,7,0.1102,98.22,0.9701,0.3846,88.37,0.9909
1,8,0.0968,98.82,0.9705,0.7179,76.74,0.9818
1,9,0.1989,96.45,0.9417,0.1035,97.67,0.9879
1,10,0.0958,98.82,0.9671,0.1259,97.67,0.9864
1,11,0.0947,98.82,0.9763,0.123,97.67,0.9833
1,12,0.0845,98.82,0.9815,0.108,97.67,0.9803
1,13,0.1066,97.63,0.9795,0.1017,97.67,0.9803
1,14,0.082,98.22,0.9902,0.1243,97.67,0.9803
1,15,0.0347,99.41,0.996,0.109,97.67,0.9712
1,16,0.0383,99.41,0.994,0.1494,97.67,0.9985
1,17,0.0471,99.41,0.993,0.0927,97.67,0.9803
1,18,0.0276,99.41,0.9972,0.1219,97.67,0.9848
1,19,0.0401,99.41,0.9936,0.0986,97.67,0.9864
1,20,0.2069,94.08,0.9607,0.0886,97.67,0.9803
2,1,0.5702,77.06,0.5289,0.3798,76.74,1.0
2,2,0.2166,92.35,0.9495,0.0198,100.0,1.0
2,3,0.1601,97.65,0.9622,0.0394,100.0,1.0
2,4,0.1173,97.65,0.975,0.0063,100.0,1.0
2,5,0.2176,94.12,0.9395,0.0255,100.0,1.0
2,6,0.1404,97.65,0.9591,0.01,100.0,1.0
2,7,0.1496,96.47,0.9681,0.0356,100.0,1.0
2,8,0.1268,97.65,0.961,0.011,100.0,1.0
2,9,0.1297,97.65,0.9581,0.0112,100.0,1.0
2,10,0.1184,97.65,0.9699,0.0065,100.0,1.0
2,11,0.145,97.65,0.9548,0.0095,100.0,1.0
2,12,0.1209,97.06,0.9767,0.0096,100.0,1.0
2,13,0.1085,97.65,0.9788,0.0177,100.0,1.0
2,14,0.1116,97.65,0.974,0.0109,100.0,1.0
2,15,0.2094,95.29,0.9425,0.0328,100.0,1.0
2,16,0.1197,97.06,0.9839,0.1615,93.02,1.0
2,17,0.1949,95.29,0.946,0.0384,100.0,1.0
2,18,0.1285,97.06,0.9669,0.034,100.0,1.0
2,19,0.1265,95.88,0.9716,0.0054,100.0,1.0
2,20,0.1135,97.65,0.9732,0.0313,100.0,1.0
3,1,0.5484,75.29,0.5851,0.3934,76.74,1.0
3,2,0.224,92.94,0.9503,0.0186,100.0,1.0
3,3,0.1315,96.47,0.9706,0.0027,100.0,1.0
3,4,0.1414,97.06,0.9702,0.0239,100.0,1.0
3,5,0.1578,96.47,0.973,0.0264,100.0,1.0
3,6,0.1198,95.88,0.9845,0.0194,100.0,1.0
3,7,0.1356,97.06,0.9736,0.072,100.0,1.0
3,8,0.1085,96.47,0.9836,0.0136,100.0,1.0
3,9,0.0878,97.65,0.9845,0.023,100.0,1.0
3,10,0.0832,97.65,0.9802,0.0125,100.0,1.0
3,11,0.0965,97.65,0.9825,0.0335,100.0,1.0
3,12,0.0931,97.65,0.9812,0.0408,100.0,1.0
3,13,0.0912,97.65,0.9793,0.0333,100.0,1.0
3,14,0.0859,97.65,0.9845,0.01,100.0,1.0
3,15,0.0923,97.65,0.9755,0.0225,100.0,1.0
3,16,0.0891,97.65,0.9773,0.0328,100.0,1.0
3,17,0.1043,97.65,0.9765,0.016,100.0,1.0
3,18,0.0867,97.65,0.9779,0.0129,100.0,1.0
3,19,0.0855,97.65,0.9804,0.0132,100.0,1.0
3,20,0.0843,97.06,0.9924,0.0384,100.0,1.0
4,1,0.5572,75.29,0.5228,0.2469,95.35,1.0
4,2,0.2011,94.12,0.9529,0.0033,100.0,1.0
4,3,0.1753,96.47,0.9699,0.0581,97.67,1.0
4,4,0.0684,98.24,0.9857,0.0689,97.67,1.0
4,5,0.0933,98.24,0.9847,0.3172,86.05,1.0
4,6,0.0712,98.82,0.9847,0.1958,93.02,1.0
4,7,0.0672,98.82,0.9855,0.1342,95.35,1.0
4,8,0.054,98.82,0.9883,0.1377,95.35,1.0
4,9,0.0579,98.82,0.9875,0.1136,95.35,1.0
4,10,0.0448,98.82,0.9945,0.164,95.35,1.0
4,11,0.0716,98.82,0.9873,0.2135,93.02,1.0
4,12,0.0726,98.82,0.9883,0.1342,93.02,1.0
4,13,0.0641,98.82,0.9906,0.0516,95.35,1.0
4,14,0.064,98.82,0.9886,0.1961,93.02,1.0
4,15,0.0654,98.82,0.9881,0.1849,93.02,1.0
4,16,0.0623,98.82,0.9881,0.1377,93.02,1.0
4,17,0.0598,98.82,0.9898,0.2907,93.02,1.0
4,18,0.0638,98.82,0.989,0.0782,95.35,1.0
4,19,0.0483,98.82,0.9939,0.1528,95.35,0.9788
4,20,0.0457,98.82,0.9965,0.0092,100.0,1.0
5,1,0.528,77.06,0.6121,0.346,95.35,0.997
5,2,0.0813,98.82,0.9886,0.1981,95.35,0.9788
5,3,0.158,97.65,0.9704,0.0788,97.67,0.9758
5,4,0.0596,98.82,0.992,0.2168,95.35,0.997
5,5,0.0775,98.82,0.9896,0.0904,97.67,0.9727
5,6,0.0619,98.82,0.9867,0.0898,97.67,0.9909
5,7,0.0317,98.24,0.9994,0.1568,97.67,0.9864
5,8,0.0689,98.82,0.9875,0.0813,97.67,0.9833
5,9,0.0596,98.82,0.9918,0.0785,97.67,0.9924
5,10,0.0554,98.82,0.99,0.0981,97.67,0.9924
5,11,0.0612,98.82,0.9877,0.0919,97.67,0.9848
5,12,0.0588,98.82,0.9883,0.1012,97.67,0.9955
5,13,0.0624,98.82,0.9888,0.0863,97.67,0.9803
5,14,0.2023,95.88,0.9554,0.1007,97.67,0.9848
5,15,0.0546,98.82,0.9886,0.1093,97.67,0.9848
5,16,0.0565,98.82,0.9881,0.0913,97.67,0.9848
5,17,0.0498,98.82,0.9913,0.0844,97.67,0.9788
5,18,0.0464,98.82,0.9933,0.0847,97.67,0.9758
5,19,0.0613,98.82,0.9873,0.0924,97.67,0.9788
5,20,0.0653,98.82,0.9902,0.095,97.67,0.9788
